iter	Passed	Remaining
0	9	4980
1	23	5808
2	29	4873
3	37	4683
4	44	4388
5	53	4439
6	60	4282
7	70	4308
8	80	4394
9	90	4415
10	100	4470
11	108	4423
12	118	4424
13	128	4448
14	138	4466
15	147	4470
16	157	4481
17	167	4489
18	177	4491
19	182	4374
20	191	4372
21	201	4378
22	209	4351
23	220	4369
24	229	4369
25	239	4374
26	249	4370
27	259	4366
28	269	4370
29	279	4371
30	288	4365
31	293	4290
32	302	4281
33	313	4301
34	323	4295
35	333	4296
36	341	4270
37	350	4265
38	360	4267
39	370	4261
40	380	4262
41	392	4275
42	402	4272
43	412	4270
44	421	4263
45	431	4260
46	439	4237
47	449	4230
48	459	4224
49	462	4163
50	469	4130
51	479	4126
52	484	4082
53	493	4075
54	505	4092
55	517	4104
56	527	4096
57	540	4117
58	553	4136
59	567	4158
60	573	4128
61	584	4128
62	594	4121
63	603	4113
64	613	4108
65	623	4102
66	630	4072
67	640	4068
68	650	4066
69	656	4031
70	666	4024
71	675	4018
72	686	4014
73	691	3981
74	700	3969
75	710	3962
76	720	3957
77	731	3959
78	742	3955
79	753	3954
80	763	3950
81	776	3959
82	787	3955
83	797	3949
84	807	3944
85	814	3922
86	824	3911
87	833	3903
88	838	3873
89	848	3867
90	860	3865
91	871	3867
92	882	3859
93	893	3857
94	908	3874
95	918	3867
96	929	3862
97	940	3856
98	951	3852
99	961	3844
100	971	3837
101	981	3830
102	992	3823
103	1003	3820
104	1013	3811
105	1029	3826
106	1043	3833
107	1053	3825
108	1067	3828
109	1079	3828
110	1085	3803
111	1095	3795
112	1106	3788
113	1116	3782
114	1121	3756
115	1132	3747
116	1143	3744
117	1158	3749
118	1168	3741
119	1178	3731
120	1183	3706
121	1192	3696
122	1203	3687
123	1211	3673
124	1219	3657
125	1229	3648
126	1234	3624
127	1243	3615
128	1254	3607
129	1263	3597
130	1276	3594
131	1285	3584
132	1295	3574
133	1305	3565
134	1317	3562
135	1327	3552
136	1336	3542
137	1347	3534
138	1358	3526
139	1369	3520
140	1378	3508
141	1383	3488
142	1391	3473
143	1400	3463
144	1411	3454
145	1416	3433
146	1423	3418
147	1432	3407
148	1442	3398
149	1452	3389
150	1460	3375
151	1464	3354
152	1475	3345
153	1484	3336
154	1495	3328
155	1506	3321
156	1518	3318
157	1528	3308
158	1535	3292
159	1544	3281
160	1555	3274
161	1566	3269
162	1575	3256
163	1588	3255
164	1599	3246
165	1608	3237
166	1618	3227
167	1629	3219
168	1639	3210
169	1644	3192
170	1654	3182
171	1664	3173
172	1675	3166
173	1684	3156
174	1694	3147
175	1704	3138
176	1714	3129
177	1724	3120
178	1734	3110
179	1745	3103
180	1758	3098
181	1768	3089
182	1778	3080
183	1789	3072
184	1798	3062
185	1803	3045
186	1813	3035
187	1823	3025
188	1832	3015
189	1842	3005
190	1851	2996
191	1862	2987
192	1872	2977
193	1881	2968
194	1891	2958
195	1901	2949
196	1911	2940
197	1922	2932
198	1931	2922
199	1942	2913
200	1952	2905
201	1963	2895
202	1973	2887
203	1979	2871
204	1992	2866
205	2002	2857
206	2014	2851
207	2022	2839
208	2033	2830
209	2044	2823
210	2054	2813
211	2065	2806
212	2075	2796
213	2085	2786
214	2095	2777
215	2104	2767
216	2114	2757
217	2124	2748
218	2130	2734
219	2140	2724
220	2149	2713
221	2162	2707
222	2173	2699
223	2183	2690
224	2193	2681
225	2203	2671
226	2213	2661
227	2223	2652
228	2233	2643
229	2243	2633
230	2252	2623
231	2262	2613
232	2273	2604
233	2282	2594
234	2292	2585
235	2302	2575
236	2312	2565
237	2323	2557
238	2335	2550
239	2345	2541
240	2356	2532
241	2368	2524
242	2378	2515
243	2388	2505
244	2398	2495
245	2408	2486
246	2418	2476
247	2429	2468
248	2438	2458
249	2448	2448
250	2459	2439
251	2469	2430
252	2480	2421
253	2494	2415
254	2507	2408
255	2517	2399
256	2529	2391
